,Product_Location_in_Tree,Product_title,Product_image_URL,Product_brand,Product_Rating,Number_of_Customer_review,Product_price,Product_Dim,Product_ASIN,Product_Item_Model_number,Product_Department,Product_Date_First_Available,Product_manufacturer,Country_Origin,UPSPSC_Code,Product_BSR,Number of sold of in a month,Product Specification,Product Description
12,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",MURADIN Mens Wallet Tactical Bifold Wallets for Men Metal RFID Blocking Aluminum Money Cards Holder Gifts for Men,https://m.media-amazon.com/images/I/91zbC4M1OeL._AC_UX679_.jpg,none,4.3,"13,160",$36.89,0.6 x 3 x 4.2 inches; 8.01 Ounces,B098T4XYY9,MRD-V03,mens,"July 7, 2021",MURADIN,China,none,#12,700+,"Brand, Seller, or Collection Name	MURADIN
Model number	MRD-V03
Part Number	MRD-V03
Special features	RFID Protected, Slim, Bifold, Secret Compartment, Clear Window ID Holder
Item weight	8.01 Ounces
Product Warranty	For warranty information about this product, please click here","THE MURADIN MINIMALIST WALLET

You don't have to sacrifice the great looks of a leather credit card wallet for security. RFID blocking protection is given to the MURADIN minimalist wallet due to the metal frame, so you can use it safely as a travel wallet, cards holder, or front pocket wallet.
The frame made of aviation-level aluminum material, anodicoxidation craft, and smooth chamfer design. Metal texture frame image design reflects elegance and fortitude.
Play Video
SLIMER, LIGHTER & SMARTER
Unlike a multi-layer bulky wallet, MURADIN tactical slim wallet's unique aluminum card holder holds all your cards in a frame with an easy access window, which aims to get your card easier than a conventional wallet.
STAY STYLISH, STAY TOUGH
Ten Rivet-style hex screws connected the leather or PU flap with the aluminum card holder, perfectly mixing outdoor style, business style, and tactical style in one wallet.
RFID Blocking
The RFID blocking tech applied to this wallet stops the most commonly used 13.56MHz band and protect against data theft by RFID and NFC scanners.
Silicone Band
MURADIN slim wallet for men comes with a silicone band, which helps to carry more cash bills by wrapping it on the card holder
Premium Material
The minimalist wallet is assembled by an aerospace-grade aluminum card holder with top grain leather or premium PU leather
Internal Storage
The component under the card stack is an ideal place to store some small stuff like a key, coins, or SD card
Idea Gift
The minimalist wallet come nicely packed in luxurious gift packaging, with an additional RFID blocking card to secure your card's data while using other regular wallets.
You can easily gift it to your loved ones on their special day. Suitable for gifting your family, friends, and relatives on their birthdays, fathers day, weddings, or other celebrations."
13,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets","PopSockets Phone Wallet with Expanding Grip, Phone Card Holder, Wireless Charging Compatible, Wallet Compatible with MagSafe - Floral Bohemian",https://m.media-amazon.com/images/I/71Dsa4rHqjL._AC_SX679_.jpg,none,4.6,"6,129",$39.99,0.29 x 2.26 x 3.46 inches,B097G9HJTK,805672,none,"June 16, 2021",PopSockets,China,none,#9,none,none,"From the manufacturer
grip it.
Text with one hand, snap your friends, and avoid phone drops.
kickstand it.
Prop up your phone wherever you are to watch videos hands-free.
mount it.
Use your phone hands-free with a car, desk, wall, or flex mount.
charge it.
Wirelessly charge your MagSafe-compatible phone.
protect it.
Avoid phone drops and screen cracks with our anti-drop phone grip.
swap it.
Easily swap your grip's top - just close the grip flat, press down and twist 90 degrees. Then you can swap in a new top or wirelessly charge.
pay it.
Streamline your accessories and carry your credit cards to easily pay on the go.
plant it.
Go plant positive with our plant PopGrips to help us reduce our ""food print"" and support donations to PHA.
Launched in 2014 by former philosophy professor David Barnett, PopSockets makes empowering, expressive, and playful products that help people phone better. PopSockets has sold over 244 million phone grips in 75 countries and now has an expanding ecosystem of related products, including phone cases, wallets and mounts.
PopSockets aims to become an eternal positivity machine--an enduring global brand that makes an increasingly positive impact on the health and happiness of the planet. Impact initiatives to date include its Poptivism platform and ChangeUp partnership that have resulted in over 4 million in cash and product donations to over 400 non-profits, low-friction recycling programs with TerraCycle (Terracycle, 2020), use of 99% recyclable and FSC certified packaging (FSC, 2019) , company-wide Climate Neutral certification, 90% of products are carbon-neutral certified (ClimateNeutral.Org, 2022), Fair Labor Association accreditation status (FLA, 2022), and adoption of an animal-free policy with respect to products and corporate sponsored meals (PopSockets, 2019).
In 2021, PopSockets was honored as one of Fast Company’s World’s Most Innovative Companies (Fast, 2021).
Here at PopSockets we aim to be a force for good that perpetually enhances the health and wellbeing of the planet and all living creatures. Our team is committed to driving long-lasting, positive environmental and social change by partnering with leading nonprofits, dedicating our time to volunteer on impactful projects, and working to make our supply chain as environmentally-sound and ethical as possible. We aim to minimize the impact of our products on the environment and animals, and maximize the welfare of our people and other stakeholders. We also hope to mobilize our millions of loyal, engaged consumers, our innovative global team and our operational expertise to bring that vision to life (PopSockets, 2022)."
14,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",Wallet for Men-Genuine Leather RFID Blocking Bifold Stylish Wallet With 2 ID Window,https://m.media-amazon.com/images/I/81ZczVpSuSL._AC_UX679_.jpg,none,4.7,"59,950",$17.99,None,B0895FKB9P,None,mens,"May 26, 2020",none,none,none,#14,3K+,none,"This Leather Wallet is made from genuine cowhide leather, compact and stylish, it's got space to hold all your things without cramming your pocket full.
RFID Blocking Thanks to the latest in RFID blocking technology this wallet will keep your cards secure.
Protect your cards from unauthorized scans
Block RFID signals from cards working at a frequency of 13.56MHz:
1. Credit/debit card
2. ID card
3. Driver license
Except block RFID signals from cards working at a frequency of 125KHz:
1. Older prox cards
2. HID 125 khz
3. Some hotel /building access cards
Genuine Leather Wallet
Precious genuine vegetable tanned cowhide leather with nice and smooth texture, really soft & comfortable to touch.
Vegetable tanned Leather is a luxury leather. It uses natural ingredients instead of chemicals, 100% pure natural.
Based on the craftsmanship and careful use of traditional techniques developed over centuries, the vegetable tanning process results in leather with a distinct appearance and unmatched durability.
Wallets made of vegetable tanned leather, get more comfortable the longer you use them.
Great Capacity
-- 10 card slots inside ( that hold 10-18 credit cards)
-- 2 currency pockets for all your cash
-- 2 ID windows (for Driver License & Work/School ID/Passport Card)
Compact Size: L 4.5’’ x W 3.5’’ x H 0.4’’ (folded, empty)
Well hand made wallet
We are deeply committed to quality!
Compared with machine sewing, hand made stitching wallet for maximum to reduce the rate of leather get stretch.
Our wallets are made by our many years of experienced craftsmen, great stitching and quality leather made the wallet more durable.
One wallet is enough!
HIMI wallet is easy to carry all your important cards and banknote, meet all your daily needs.
Stylish & functional, suitable for any occasion
This wallet is super stylish and absolutely functional.
Designed with simple appearance, it is an ideal for both of leisere life and business suit.
Great gift
HIMI wallets come nicely packed in an adorable gift box, so it's a great gift for yourself or someone you love on their special day. Such as Birthdays, Anniversaries, Father's Day, Christmas and other Special Occasions."
15,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Card & ID Cases›Card Cases",ELFISH Mini RFID Aluminum Wallet Credit Cards Holder Business Card Case Metal ID Case for Men Women (Acolorful),https://m.media-amazon.com/images/I/71M75k5FMML._AC_SX679_.jpg,ELFISH,4.6,"16,008",$6.98,4.3 x 3 x 1 inches,B07VRDKCWT,CX1002,Mens,none,ELFISH,China,none,#2,500+,none,"Product Description
1. Elfish super cute card holder effortless clicking latch shuts securely and opens with a simple push.
2. Rounded corners are comfortable for carrying in pocket .
RFID signal blocker prevents thieves from accessing your valuable information must have for business and travel.
High quality material: Premium aluminum and ABS plastic card protector maintains shine through use.
Daily and travelling use is very suitable,lightweight,high-capacity,easy to carry.
Effortless clicking latch shuts securely and opens with a simple push; rounded corners are comfortable for carrying in pocket.
Different styles show different elegance!"
16,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets","Zitahli Wallet for Men,Mens Wallet,Slim Leather Bifold,RFID Blocking 11 Slots Gift Box",https://m.media-amazon.com/images/I/71jkpvzFzUL._AC_SX679_.jpg,none,4.5,"3,993",$11.95,0.5 x 0.5 x 0.5 inches,B09Q5B271P,KRETOS,Mens,none,Zitahli,China,none,#15,3K+,none,"Product Description
WE，Zitahli
Here at Zitahli, our mission is simple;
We're in the business of making people's daily lives easier. We're upgrading the traditional wallet, making it easier to use so you have time to focus on what really matters.
WHY CHOOSE US?
Insist on handmade
We insist on making each wallet by hand, hoping they will become a work of art rather than a product of a machine assembly line.
Easily accessible card slot
The wallet for men features an advanced card slot design that makes the wallet look slimmer while still leaving a quick access card slot.
RFID blocking
All of our wallets are tested by an independent German quality control institute. Enable to block the most commonly used 13.56 MHz band and protect against data thieves by RFID and NFC scanners.
Front pocket wallet
Our wallets are designed to fit in your front pocket.
Different color for different occasions
wallet Magnetic wallet Money clip wallet Money clip wallet
Slots 11 7 12 12
ID windows ✓ ✓ ✓ ✓
Metal money clip NO NO ✓ ✓
RFID blocking ✓ ✓ ✓ ✓
Gift box ✓ ✓ ✓ ✓"
17,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",Steve Madden Men's Leather RFID Wallet Extra Capacity Attached Flip Pocket,https://m.media-amazon.com/images/I/71bdu3z5J6L._AC_UY879_.jpg,none,4.7,"6,240",$12.99,None,B07JCHRT2Q,None,mens,"October 12, 2018",STEVE MADDEN,none,none,#16,2K+,none,"STEVE MADDEN GENUINE LEATHER RFID WALLET - A genuine leather slim compact wallet with RFID technology, featuring 7 credit card pockets, two slip pockets, a mesh ID slot and an emBOSSed STEVE MADDEN logo."
18,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Card & ID Cases›Business Card Cases","Elevation Lab TagVault Wallet - The Worlds Thinnest AirTag Wallet Holder Card Insert | Flexible, Stays Hidden, Patent Pending",https://m.media-amazon.com/images/I/615T+ZHE1xL._AC_UX679_.jpg,none,4.6,"2,074",$7.96,None,B0C7Y6B8JD,None,mens,"May 9, 2022",Elevation Lab,none,none,#2,3K+,none,none
19,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",Chums Surfshorts Wallet - Lightweight Zippered Minimalist Wallet with Clear ID Window - Water Resistant with Key Ring,https://m.media-amazon.com/images/I/819kNeIczXL._AC_UX679_.jpg,none,4.7,"13,134",$11.99,1 x 1 x 1 inches; 0.8 Ounces,B008H157H0,18401-p,womens,"March 12, 2010",Chums,none,none,#4,400+,none,"Perfect stash wallet for ID, cash, cards and keys. Low bulk, low profile, minimalist wallet. A good surf wallet is essential for safely carrying those items you don’t want to leave behind."
20,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",Timberland Men's Genuine Leather RFID Blocking Trifold Wallet,https://m.media-amazon.com/images/I/81jBL+QxCoL._AC_UY879_.jpg,none,4.6,"10,157",$14.79,None,B096YHRMVR,None,Mens,"June 9, 2021",Timberland Accessories,none,none,#19,none,none,"TIMBERLAND WALLET WITH RFID BLOCKING TECHNOLOGY - A slim compact RFID mens wallet with lots of storage, 6 credit card pockets, 2 separate bill pockets, 2 hidden pockets and a clear ID window.

What is RFID? RFID stands for Radio Frequency Identification Denoting, it is the use of radio waves to identify objects carrying encoded chips. This can include credit card information, passport identification or other forms of ID and access cards.

Why Should I Buy a RFID blocking wallet? With credit cards and debit cards moving to RFID Chips, there is a growing concern of identify theft and electronic pickpocketing. Now is the time to protect yourself and upgrade your wallet to a mens leather RFID wallet trifold. Keep your information safe while still looking trendy.

Each Timberland RFID Trifold Wallet for Men Includes:
100% high quality genuine leather with a soft feel
6 standard sized credit card pockets
1 clear id window
A large horizontal cash pocket separated into 2 different sections
RFID blocking protection
2 extra card pockets

The Perfect Mens Money Organizer: Timberland offers a great wallet for men with RFID Blocking. With the function of a large wallet and the benefits of a slim wallet our mens wallet is one of the best mens wallets available."
21,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",RUNBOX Wallet for Men Slim 11 Credit Card Holder Slots Leather RFID Blocking Small Thin Men's Wallet Bifold Minimalist Front Pocket Large Capacity Gift Box,https://m.media-amazon.com/images/I/81ylcEZZGZL._AC_UX679_.jpg,none,4.5,"10,627",$11.99,0.5 x 0.5 x 0.5 inches; 3.53 Ounces,B0BDYHVS8N,None,mens,"September 12, 2022",none,none,none,#20,1K+,none,"RUNBOX Slim Wallet for Men
A simple, everyday men wallet that will look great and fit all of your belongings, and be with you for years.
Here, with RUNBOX Wallets, you get RFID protection, plenty of card slots, an ID window, money pocket and more.

In RUNBOX, we always believe that products which can meet the needs of consumers are really great products.So we continue to provide you with good products and post-sales service, and hope that our efforts can be recognized by you.
10+ Popular Colors
Finest Leather
Front pocket wallet
with currency pocket
Slim Wallet for Men with Money Pocket
A Perfect Gift for Men from RUNBOX
SLIM. DURABLE. FASHION.
To slim your pocket, RUNBOX Designers create this mens slim wallets reduces bulk with an efficient minimalistic design that makes everything easier.
Best fits 10-12 credit cards, an ID plus US bills, Total of 12+ available card slots (including 1 hidden pocket which can take more cards).
There is 1 easy-to-access card slot on the outside for most-used cards so that you need no more shuffle through your wallet, looking for that one card you use almost every day!
12 card slots(1 ID window plus) + 1 Billfold
1 Quick Access Card Slot
RFID Function
Nice Gift Box
Durable Vegan Leather
Trendy Men’s Bifold Wallets
Sleek, Clean Sophistication meets modern day style with our men wallet.
RUNBOX Slim Mens Wallets, wallets that are ready to go for whatever your day holds.
Gifts Ideas for Men
A wallet, to decent to take out when he goes to pay anywhere. Needless to say, a perfect present for birthday, anniversaries, Fathers Day, Christmas and other special day.
Quality you can feel
RUNBOX durable mens wallets are made by experienced workers, our quality control team closely monitor every step – leather selection, cutting, stitching, craftwork and packaging.
Bifold Wallet 01 Money Clip 06 Money Clip 02 Airtag Wallet Money Clip Classic Bifold Wallet 03
ID Window 1 1 1 1 1 2
Number of Cards 12 11 11 11 7 15
Money Pocket ✓ None None ✓ ✓
Money Clip None Metal Money Clip Metal Money Clip None Metal Money Clip None
RFID Protection ✓ ✓ ✓ ✓ ✓ ✓
Airtag Holder None None None ✓ None None"
22,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",RUNBOX Slim Wallets for Men - Leather Money Clip Mens Wallet - RFID Blocking Front Pocket Bifold Wallet - Minimalist Credit Card Holder with Gift Box,https://m.media-amazon.com/images/I/71m5hW2hMCL._AC_SX679_.jpg,none,4.4,"4,000",$11.95,4.8 x 3.6 x 0.6 inches,B09M3Y8QZY,None,Men,none,RUNBOX,none,none,#21,none,none,"Product Description
RUNBOX Slim Wallet for Men with Money Clip
A simple, everyday men wallet that will look great and fit all of your belongings, and be with you for years.
Here, with RUNBOX Wallets, you get RFID protection, plenty of card slots, an ID window, Money Clip and more.

In RUNBOX, we always believe that products which can meet the needs of consumers are really great products.So we continue to provide you with good products and post-sales service, and hope that this can be recognized by you.
10+ Popular Colors
Finest Leather
Front pocket wallet
Slim Wallet for Men with Money Clip
A Perfect Gift for Men from RUNBOX
SLIM. DURABLE. FASHION.
To slim your pocket, RUNBOX's designers create this slim wallets for men reduces bulk with an efficient minimalistic design that makes everything easier.
Best fits 10-12 credit cards,an ID plus US bills, Total of 11 available card slots (including 1 hidden card slot which can take more cards).
There is 1 easy-to-access card slot on the outside for most-used cards so that you need no more shuffle through your wallet, looking for that one card you use almost every day!
11 card slots(1 ID window plus)
1 Quick Access Slot
RFID-blocking Function
Nice Gift Box
Durable Vegan Leather
𝐑𝐅𝐈𝐃-𝐏𝐑𝐎𝐓𝐄𝐂𝐓𝐈𝐎𝐍 𝐈𝐍𝐒𝐈𝐃𝐄 𝐀𝐍𝐃 𝐎𝐔𝐓
All of our wallets are tested by an independent German quality control institute. Our wallets block the most commonly used 13.56 MHz band and protect against data theft by RFID and NFC scanners.
KEEP YOUR BILLS IN PLACE
We refined the MONEY CLIP. Our military grade stainless clip, it's MORE FLEXIBLE AND SECURE than regular ones, which allows you to insert bills effortlessly, keeps bills securely in place whether you are standing, sitting or running.
QUALITY YOU CAN FEEL
RUNBOX durable mens wallets are made by experienced workers, our quality control team closely MONITOR EVERY STEP – leather selection, cutting, stitching, craftwork and packaging.
GIFTS IDEAS FOR MEN
A wallet, to DECENT to take out when he goes to pay anywhere. Needless to say, A PERFECT PRESENT for birthday, anniversaries, Fathers Day, Christmas and other special day.
Money Clip 06 Money Clip 02 Bifold Wallet 01 Airtag Wallet Bifold Wallet 01 Bifold Wallet 03
ID Window 1 1 1 1 2 2
Number of Cards 11 11 12 12 12 15
Money Pocket None None ✓ ✓ ✓ ✓
Money Clip Metal Money Clip Metal Money Clip None None None None
RFID Protection ✓ ✓ ✓ ✓ ✓ ✓
Airtag Holder None None None ✓ None None"
23,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Wallets",SERMAN BRANDS Money Clip Wallet - Mens Wallets slim Front Pocket RFID Blocking Card Holder Minimalist Mini Bifold,https://m.media-amazon.com/images/I/91RGGG0o+NL._AC_UX679_.jpg,none,4.6,"9,962",$21.63,None,B095W484D4,None,mens,"May 26, 2021",none,none,none,#22,900+,none,"RFID Blocking
Our wallets are equipped with RFID Technology, a unique composite, engineered to block 13.56 MHz or higher RFID signals and protect against data theft by RFID scanners
RFID Protection for all cards, except the clear I.D slot. Carry your work I.D, license, transit card with out having to remove the card to scan.
Full Grain Leather
We use only the finest leathers! Premium Full grain leathers that stand up to the test of time! Our vintage leathers stay true to their nature by being receptive to scratches.
With use the wallet will absorb the natural oils of your hands which will allow the wallet to develop a rich and dark color. Over time, your wallet will develop a character that matches your adventures.
Money Clip
Made from high grade stainless steal to securely hold your bills. The Transformer can comfortably carry 15 bills while remaining slim!
No more unsightly bulge in your pants. Just a super sleek fashion accessory that makes everything easier.
Attention To Detail
We began our mission to help the world carry with greater simplicity and ease. We work hard to create products that will live a long life and we choose materials that are proven to serve their purpose. We've spent many years considering and refining our custom leathers. We only use premium leathers.
Holds Up To 11 Cards
It’s incredible how much this minimalist wallet for men fits. Inside you’ll find 8 card sleeves to hold 8-9 cards, plus a clear ID card slot for your license or photo on the backside. On the front side, the 2 Quick Access Slots are for your most used cards with even quicker access.
Quickly Access Your Cards
You asked and we delivered! Get quick access to your two most used cards. Strategically cut slots for convenient and easy use.
No more shuffling through your wallet, looking for that one card you use almost every day!
SERMAN BRANDS SERMAN BRANDS SERMAN BRANDS SERMAN BRANDS SERMAN BRANDS SERMAN BRANDS
RFID Protected ✓ ✓ ✓ ✓ ✓ ✓
Money Clip ✓ ✓ Traditional Cash Slot ✓ Traditional Cash Slot Traditional Cash Slot
Card Storage Best Fits 6-8 Cards Best Fits 6-8 Cards Best Fits 6-8 Cards Best Fits 6-8 Cards Best Fits 6-8 Cards Best Fits 6-8 Cards
Smart Strap ✓ ✓ ✓ ✓"
24,"Clothing, Shoes & Jewelry›Men›Accessories›Wallets, Card Cases & Money Organizers›Money Clips",Hayvenhurst Slim Wallet For Men - Front Pocket RFID Blocking Minimalist Wallet For Men - Metal Wallet With Money Clip For Men (Carbon Fiber),https://m.media-amazon.com/images/I/81ey-aF9nMS._AC_SX679_.jpg,none,4.4,"11,646",$29.00,0.75 x 3.43 x 4.29 inches,B091JH8P34,Money-Clip,mens,none,none,China,none,#3,3K+,none,"Product Description
RFID BLOCKING
Breathe easy because your cards will be shielded by the body of this wallet protecting them from even the most powerful RFID Chip Readers.
HIGH QUALITY
Holds 1-12 cards without stretching out. Ideal for carrying business cards, debit cards, etc.
HIGH QUALITY GREAT GIFT EASY CARD ACCESS INTEGRATED MONEY CLIP
New Launches
1 NEW STYLE 2 COLOR VARIATIONS 3 HARDENED MATERIAL 4 STRONG MONEY CLIP"
